"alert__week","alert__year","alert__count","confidence__cat"
33,2017,55,"n"
33,2017,10,"h"
33,2017,22,"l"
32,2017,121,"n"
32,2017,24,"h"
32,2017,26,"l"
31,2017,186,"n"
31,2017,11,"l"
31,2017,5,"h"
30,2017,19,"l"
30,2017,27,"h"
30,2017,180,"n"
29,2017,173,"n"
29,2017,11,"l"
29,2017,6,"h"
28,2017,17,"l"
28,2017,58,"n"
28,2017,5,"h"
27,2017,55,"n"
27,2017,5,"h"
27,2017,11,"l"
26,2017,5,"h"
26,2017,92,"n"
26,2017,10,"l"
25,2017,25,"l"
25,2017,17,"h"
25,2017,100,"n"
24,2017,4,"h"
24,2017,7,"l"
24,2017,121,"n"
23,2017,38,"n"
23,2017,11,"l"
22,2017,3,"h"
22,2017,42,"n"
22,2017,3,"l"
21,2017,2,"l"
21,2017,76,"n"
21,2017,2,"h"
20,2017,49,"n"
20,2017,1,"l"
19,2017,2,"h"
19,2017,65,"n"
19,2017,3,"l"
18,2017,83,"n"
18,2017,5,"l"
17,2017,50,"n"
17,2017,2,"l"
17,2017,4,"h"
16,2017,21,"h"
16,2017,11,"l"
16,2017,703,"n"
15,2017,12,"h"
15,2017,382,"n"
15,2017,13,"l"
14,2017,11,"h"
14,2017,269,"n"
14,2017,6,"l"
13,2017,3,"l"
13,2017,10,"h"
13,2017,185,"n"
12,2017,92,"n"
11,2017,345,"n"
11,2017,10,"h"
11,2017,2,"l"
10,2017,11,"l"
10,2017,168,"n"
10,2017,6,"h"
9,2017,36,"n"
9,2017,1,"h"
8,2017,1,"h"
8,2017,1,"l"
8,2017,204,"n"
7,2017,77,"n"
6,2017,28,"n"
6,2017,1,"l"
5,2017,1,"h"
5,2017,44,"n"
4,2017,102,"n"
4,2017,2,"l"
3,2017,2,"h"
3,2017,124,"n"
2,2017,95,"n"
2,2017,1,"l"
1,2017,129,"n"
1,2017,1,"h"
1,2017,1,"l"
53,2016,8,"n"
52,2016,170,"n"
52,2016,4,"h"
51,2016,3,"l"
51,2016,21,"n"
50,2016,57,"n"
49,2016,24,"n"
48,2016,32,"n"
47,2016,17,"n"
46,2016,203,"n"
46,2016,1,"l"
46,2016,1,"h"
45,2016,2,"l"
45,2016,2,"h"
45,2016,123,"n"
44,2016,2,"h"
44,2016,137,"n"
44,2016,3,"l"
43,2016,149,"n"
43,2016,2,"l"
43,2016,5,"h"
42,2016,45,"n"
41,2016,7,"l"
41,2016,1,"h"
41,2016,67,"n"
40,2016,13,"l"
40,2016,3,"h"
40,2016,168,"n"
39,2016,163,"n"
39,2016,2,"h"
39,2016,1,"l"
38,2016,6,"l"
38,2016,5,"h"
38,2016,169,"n"
37,2016,16,"h"
37,2016,109,"n"
37,2016,11,"l"
36,2016,22,"h"
36,2016,39,"l"
36,2016,556,"n"
35,2016,132,"n"
35,2016,25,"l"
35,2016,19,"h"
34,2016,249,"n"
34,2016,17,"h"
34,2016,14,"l"
33,2016,7,"h"
33,2016,154,"n"
33,2016,16,"l"
32,2016,43,"h"
32,2016,474,"n"
32,2016,21,"l"
31,2016,120,"n"
31,2016,21,"l"
31,2016,26,"h"
30,2016,104,"n"
30,2016,2,"l"
30,2016,6,"h"
29,2016,15,"h"
29,2016,154,"n"
29,2016,3,"l"
28,2016,93,"n"
28,2016,16,"h"
28,2016,1,"l"
27,2016,131,"n"
27,2016,11,"l"
27,2016,2,"h"
26,2016,14,"l"
26,2016,131,"n"
26,2016,11,"h"
25,2016,75,"n"
25,2016,13,"l"
25,2016,2,"h"
24,2016,1,"l"
24,2016,6,"h"
24,2016,134,"n"
23,2016,5,"l"
23,2016,33,"n"
23,2016,2,"h"
22,2016,42,"n"
22,2016,7,"l"
21,2016,58,"n"
21,2016,7,"l"
21,2016,1,"h"
20,2016,5,"l"
20,2016,1,"h"
20,2016,93,"n"
19,2016,1,"h"
19,2016,36,"n"
18,2016,48,"n"
18,2016,4,"l"
17,2016,63,"n"
17,2016,4,"h"
17,2016,1,"l"
16,2016,47,"n"
16,2016,2,"h"
15,2016,48,"n"
14,2016,48,"n"
13,2016,1,"l"
13,2016,19,"n"
12,2016,1,"l"
12,2016,54,"n"
11,2016,3,"l"
11,2016,3,"h"
11,2016,77,"n"
10,2016,90,"n"
9,2016,97,"n"
9,2016,1,"l"
9,2016,2,"h"
8,2016,50,"n"
7,2016,1,"h"
7,2016,69,"n"
6,2016,39,"n"
5,2016,79,"n"
4,2016,17,"n"
3,2016,58,"n"
3,2016,2,"l"
2,2016,86,"n"
2,2016,2,"l"
1,2016,1,"l"
1,2016,19,"n"
53,2015,1,"l"
53,2015,98,"n"
52,2015,4,"h"
52,2015,136,"n"
51,2015,395,"n"
51,2015,10,"l"
51,2015,9,"h"
50,2015,1,"l"
50,2015,46,"n"
49,2015,59,"n"
48,2015,64,"n"
47,2015,2,"h"
47,2015,107,"n"
46,2015,81,"n"
46,2015,1,"l"
45,2015,1,"h"
45,2015,69,"n"
45,2015,1,"l"
44,2015,146,"n"
43,2015,47,"n"
42,2015,71,"n"
42,2015,2,"h"
41,2015,6,"l"
41,2015,68,"n"
40,2015,6,"l"
40,2015,3,"h"
40,2015,69,"n"
39,2015,36,"n"
39,2015,9,"l"
39,2015,5,"h"
38,2015,7,"l"
38,2015,7,"h"
38,2015,104,"n"
37,2015,84,"n"
37,2015,1,"h"
37,2015,7,"l"
36,2015,5,"l"
36,2015,115,"n"
35,2015,39,"l"
35,2015,173,"n"
35,2015,29,"h"
34,2015,28,"l"
34,2015,125,"n"
34,2015,18,"h"
33,2015,12,"l"
33,2015,102,"n"
33,2015,2,"h"
32,2015,9,"l"
32,2015,66,"h"
32,2015,341,"n"
31,2015,111,"n"
31,2015,23,"h"
31,2015,13,"l"
30,2015,9,"l"
30,2015,181,"n"
30,2015,4,"h"
29,2015,31,"h"
29,2015,12,"l"
29,2015,204,"n"
28,2015,26,"l"
28,2015,99,"h"
28,2015,414,"n"
27,2015,14,"l"
27,2015,8,"h"
27,2015,302,"n"
26,2015,13,"h"
26,2015,86,"n"
26,2015,16,"l"
25,2015,7,"l"
25,2015,1,"h"
25,2015,42,"n"
24,2015,2,"l"
24,2015,34,"n"
23,2015,19,"l"
23,2015,64,"n"
23,2015,5,"h"
22,2015,90,"n"
22,2015,1,"h"
22,2015,11,"l"
21,2015,3,"l"
21,2015,134,"n"
20,2015,202,"n"
20,2015,12,"l"
20,2015,17,"h"
19,2015,9,"l"
19,2015,90,"n"
18,2015,74,"n"
18,2015,1,"l"
17,2015,79,"n"
16,2015,121,"n"
16,2015,2,"h"
15,2015,3,"h"
15,2015,97,"n"
14,2015,4,"l"
14,2015,2,"h"
14,2015,126,"n"
13,2015,1,"l"
13,2015,27,"n"
12,2015,1,"l"
12,2015,83,"n"
11,2015,221,"n"
11,2015,5,"l"
10,2015,4,"l"
10,2015,1,"h"
10,2015,152,"n"
9,2015,48,"n"
8,2015,1,"l"
8,2015,87,"n"
7,2015,1,"l"
7,2015,50,"n"
6,2015,51,"n"
5,2015,81,"n"
4,2015,76,"n"
3,2015,76,"n"
3,2015,1,"l"
2,2015,1,"h"
2,2015,149,"n"
2,2015,1,"l"
1,2015,63,"n"
52,2014,73,"n"
51,2014,33,"n"
50,2014,24,"n"
49,2014,13,"n"
48,2014,2,"h"
48,2014,17,"n"
47,2014,2,"l"
47,2014,66,"n"
46,2014,49,"n"
45,2014,8,"n"
44,2014,229,"n"
44,2014,3,"h"
44,2014,4,"l"
43,2014,5,"l"
43,2014,4,"h"
43,2014,128,"n"
42,2014,2,"h"
42,2014,102,"n"
41,2014,67,"n"
40,2014,1,"l"
40,2014,84,"n"
40,2014,3,"h"
39,2014,63,"n"
39,2014,2,"l"
38,2014,2,"h"
38,2014,3,"l"
38,2014,202,"n"
37,2014,28,"l"
37,2014,233,"n"
37,2014,15,"h"
36,2014,5,"h"
36,2014,126,"n"
36,2014,25,"l"
35,2014,11,"h"
35,2014,23,"l"
35,2014,101,"n"
34,2014,22,"l"
34,2014,4,"h"
34,2014,94,"n"
33,2014,16,"l"
33,2014,2,"h"
33,2014,77,"n"
32,2014,150,"n"
32,2014,10,"l"
32,2014,19,"h"
31,2014,101,"n"
31,2014,2,"l"
31,2014,2,"h"
30,2014,3,"l"
30,2014,166,"n"
30,2014,4,"h"
29,2014,11,"h"
29,2014,7,"l"
29,2014,214,"n"
28,2014,2,"h"
28,2014,147,"n"
28,2014,13,"l"
27,2014,4,"l"
27,2014,108,"n"
27,2014,1,"h"
26,2014,157,"n"
26,2014,6,"l"
26,2014,8,"h"
25,2014,102,"n"
25,2014,10,"l"
25,2014,3,"h"
24,2014,2,"l"
24,2014,194,"n"
24,2014,2,"h"
23,2014,8,"l"
23,2014,52,"n"
22,2014,8,"l"
22,2014,30,"n"
21,2014,28,"n"
21,2014,2,"l"
20,2014,148,"n"
20,2014,12,"l"
20,2014,6,"h"
19,2014,113,"n"
19,2014,1,"h"
18,2014,4,"h"
18,2014,146,"n"
18,2014,6,"l"
17,2014,1,"l"
17,2014,27,"h"
17,2014,171,"n"
16,2014,2,"h"
16,2014,4,"l"
16,2014,44,"n"
15,2014,2,"h"
15,2014,2,"l"
15,2014,113,"n"
14,2014,30,"n"
14,2014,4,"h"
13,2014,2,"l"
13,2014,9,"h"
13,2014,107,"n"
12,2014,6,"l"
12,2014,241,"n"
12,2014,12,"h"
11,2014,15,"h"
11,2014,415,"n"
11,2014,3,"l"
10,2014,5,"h"
10,2014,1,"l"
10,2014,107,"n"
9,2014,119,"n"
8,2014,53,"n"
7,2014,25,"n"
6,2014,2,"h"
6,2014,41,"n"
5,2014,15,"n"
5,2014,1,"h"
4,2014,40,"n"
3,2014,16,"n"
2,2014,2,"h"
2,2014,48,"n"
1,2014,1,"l"
1,2014,58,"n"
52,2013,70,"n"
52,2013,2,"h"
51,2013,31,"n"
50,2013,143,"n"
50,2013,2,"l"
50,2013,1,"h"
49,2013,5,"h"
49,2013,257,"n"
48,2013,1,"h"
48,2013,79,"n"
48,2013,1,"l"
47,2013,65,"n"
46,2013,15,"h"
46,2013,3,"l"
46,2013,90,"n"
45,2013,181,"n"
45,2013,6,"h"
45,2013,1,"l"
44,2013,126,"n"
44,2013,6,"h"
44,2013,6,"l"
43,2013,78,"n"
43,2013,7,"h"
42,2013,17,"h"
42,2013,127,"n"
42,2013,3,"l"
41,2013,8,"h"
41,2013,11,"l"
41,2013,68,"n"
40,2013,12,"h"
40,2013,2,"l"
40,2013,82,"n"
39,2013,8,"l"
39,2013,151,"n"
39,2013,13,"h"
38,2013,6,"h"
38,2013,204,"n"
38,2013,8,"l"
37,2013,19,"l"
37,2013,16,"h"
37,2013,270,"n"
36,2013,120,"n"
36,2013,7,"l"
36,2013,12,"h"
35,2013,13,"l"
35,2013,274,"n"
35,2013,42,"h"
34,2013,5,"l"
34,2013,198,"n"
34,2013,10,"h"
33,2013,2,"h"
33,2013,232,"n"
33,2013,10,"l"
32,2013,11,"l"
32,2013,10,"h"
32,2013,61,"n"
31,2013,23,"l"
31,2013,249,"n"
31,2013,14,"h"
30,2013,33,"l"
30,2013,1,"h"
30,2013,220,"n"
29,2013,3,"h"
29,2013,125,"n"
29,2013,3,"l"
28,2013,193,"n"
28,2013,1,"h"
28,2013,15,"l"
27,2013,3,"h"
27,2013,162,"n"
27,2013,20,"l"
26,2013,135,"n"
26,2013,23,"l"
26,2013,10,"h"
25,2013,3,"l"
25,2013,18,"n"
24,2013,6,"l"
24,2013,51,"n"
24,2013,2,"h"
23,2013,2,"h"
23,2013,3,"l"
23,2013,46,"n"
22,2013,24,"n"
22,2013,1,"h"
22,2013,3,"l"
21,2013,43,"n"
21,2013,1,"l"
21,2013,1,"h"
20,2013,113,"n"
20,2013,1,"h"
20,2013,3,"l"
19,2013,2,"h"
19,2013,35,"n"
19,2013,1,"l"
18,2013,3,"l"
18,2013,126,"n"
17,2013,8,"h"
17,2013,202,"n"
17,2013,2,"l"
16,2013,11,"l"
16,2013,2,"h"
16,2013,165,"n"
15,2013,2,"h"
15,2013,1,"l"
15,2013,64,"n"
14,2013,60,"n"
14,2013,1,"h"
14,2013,1,"l"
13,2013,14,"n"
12,2013,44,"n"
