date,value
2020-01-17,77.8
2020-01-18,33.1
2020-01-19,25.2
2020-01-20,23.6
2020-01-21,31.6
2020-01-22,22.1
2020-01-23,26.5
2020-01-24,52.4
2020-01-25,54.5
2020-01-26,75.5
2020-01-27,42.9
2020-01-28,16.6
2020-01-29,8.3
2020-01-30,12.1
2020-01-31,11.1
2020-02-01,7.7
2020-02-02,9.0
2020-02-03,9.0
2020-02-04,8.9
2020-02-05,10.7
2020-02-06,14.6
2020-02-07,16.9
2020-02-08,42.5
2020-02-09,24.1
2020-02-10,9.4
2020-02-11,5.4
2020-02-12,6.5
2020-02-13,14.5
2020-02-14,17.3
2020-02-15,22.3
2020-02-16,10.7
2020-02-17,13.3
2020-02-18,8.0
2020-02-19,9.5
2020-02-20,13.0
2020-02-21,11.1
2020-02-22,11.3
2020-02-23,5.2
2020-02-24,9.3
2020-02-25,9.4
2020-02-26,8.2
2020-02-27,15.6
2020-02-28,19.8
2020-02-29,11.3
2020-03-01,15.9
2020-03-02,22.2
2020-03-03,24.3
2020-03-04,18.7
2020-03-05,25.6
2020-03-06,15.8
2020-03-07,13.8
2020-03-08,20.4
2020-03-09,22.4
2020-03-10,14.6
2020-03-11,9.4
2020-03-12,8.2
2020-03-13,10.1
2020-03-14,15.4
2020-03-15,26.2
2020-03-16,14.2
2020-03-17,35.9
2020-03-18,30.8
2020-03-19,31.1
2020-03-20,32.7
2020-03-21,9.9
2020-03-22,12.4
2020-03-23,17.5
2020-03-24,25.5
2020-03-25,24.8
2020-03-26,31.2
2020-03-27,41.4
2020-03-28,41.8
2020-03-29,29.0
2020-03-30,9.2
2020-03-31,16.7
2020-04-01,22.3
2020-04-02,26.7
2020-04-03,21.1
2020-04-04,20.8
2020-04-05,24.3
2020-04-06,24.7
2020-04-07,19.3
2020-04-08,17.7
2020-04-09,18.6
2020-04-10,12.6
2020-04-11,21.7
2020-04-12,18.2
2020-04-13,9.5
2020-04-14,8.9
2020-04-15,9.9
2020-04-16,13.9
2020-04-17,13.9
2020-04-18,13.5
2020-04-19,9.5
2020-04-20,9.1
2020-04-21,13.3
2020-04-22,17.7
2020-04-23,19.7
2020-04-24,17.5
2020-04-25,11.5
2020-04-26,9.6
2020-04-27,14.4
2020-04-28,13.9
2020-04-29,21.6
2020-04-30,20.9
2020-05-01,10.9
2020-05-02,7.7
2020-05-03,8.5
2020-05-04,12.3
2020-05-05,6.7
